SEN16,PRES16,PRES12,SEN12,AG14,GOV14,GOV10,SEN10,AG16
14,12,13,9,5,10,14,13,12
14,12,12,10,5,10,14,13,11
14,12,11,10,5,10,14,13,10
14,12,11,10,5,10,14,13,10
14,12,11,10,5,10,14,13,10
14,12,11,10,5,10,14,13,10
14,12,11,10,4,10,14,13,10
14,12,11,10,4,10,14,13,10
14,12,11,10,4,10,14,13,10
14,12,11,10,3,10,14,14,11
14,12,11,10,3,10,14,14,11
14,12,11,9,4,9,14,14,11
14,12,11,9,4,9,14,14,11
14,12,11,9,4,9,14,14,11
13,13,12,10,4,9,14,14,12
13,13,12,10,4,9,14,14,12
13,13,12,10,4,9,14,14,12
13,13,12,10,4,9,14,14,12
13,13,12,9,4,8,14,14,11
13,13,12,9,4,8,14,14,11
13,12,11,9,4,8,14,14,11
13,12,11,9,4,8,14,14,12
13,12,11,9,4,9,14,14,12
13,12,11,9,4,9,14,14,12
13,12,11,9,4,9,14,14,12
13,12,11,9,4,9,14,14,12
13,12,11,9,5,9,14,14,11
13,12,11,9,5,9,14,14,11
13,12,11,9,5,9,14,14,11
13,12,11,9,5,9,14,14,11
13,12,11,9,5,9,14,14,11
13,11,11,8,6,9,14,14,11
13,11,11,8,6,9,14,14,11
13,11,11,8,6,9,14,14,11
13,11,11,8,6,9,14,14,11
13,11,11,8,6,9,14,14,11
13,11,11,8,6,9,14,14,11
13,11,11,8,6,9,14,13,11
13,11,11,8,5,8,14,13,11
13,11,11,8,5,8,14,13,11
13,11,11,8,5,8,14,13,11
13,11,12,8,5,8,14,13,11
13,11,11,8,5,8,14,13,11
13,11,11,7,5,8,14,13,11
13,11,11,7,5,8,14,13,11
13,11,11,7,5,8,14,13,11
13,11,11,7,5,8,14,13,11
13,12,11,7,5,8,14,13,11
13,12,11,7,5,8,14,13,11
13,12,11,7,5,8,14,13,11
13,12,11,7,5,8,14,13,11
13,12,11,7,5,8,14,13,11
13,12,11,7,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,8,5,8,14,13,11
13,11,10,7,5,7,15,13,10
13,11,10,7,5,8,15,13,10
13,11,10,7,5,8,15,13,10
13,11,10,7,5,8,15,13,10
13,11,10,8,5,9,14,13,11
12,10,10,9,5,9,14,12,11
12,10,10,9,5,9,14,12,11
12,10,10,9,5,9,14,12,11
12,10,10,9,5,9,14,12,11
12,10,10,9,5,9,14,12,11
12,10,10,9,5,9,14,12,11
12,10,10,9,5,9,14,12,11
12,10,10,9,5,9,14,12,11
12,10,10,9,5,9,14,12,11
12,10,10,9,6,9,14,12,11
12,10,10,9,6,9,14,12,11
12,10,10,9,6,9,14,12,11
13,11,10,9,6,9,14,13,11
13,11,10,9,6,9,14,13,11
13,11,10,9,6,9,14,13,11
13,11,10,9,6,9,14,13,11
13,11,10,9,6,9,14,13,11
13,11,10,9,5,9,14,13,11
13,11,10,9,5,9,14,13,11
13,11,10,9,5,9,14,13,11
13,11,10,9,5,9,14,13,11
13,11,10,9,5,9,14,13,11
13,11,10,9,5,9,14,13,11
13,11,10,9,5,9,14,13,11
13,11,10,8,5,8,15,13,11
13,11,10,8,5,8,15,13,11
13,11,10,8,5,8,15,13,11
13,11,10,9,5,9,14,13,11
13,11,10,8,5,9,14,13,11
13,11,10,9,5,9,14,13,11
13,12,11,9,6,8,14,13,11
13,12,11,9,6,8,14,13,11
13,12,11,8,6,7,14,13,11
13,12,11,8,6,7,14,13,11
13,12,11,8,6,7,14,13,11
13,12,11,9,6,7,14,13,11
13,12,11,9,6,7,14,13,11
13,12,11,9,6,7,14,13,11
13,12,11,9,6,7,14,13,11
12,12,11,9,6,7,14,12,11
12,12,10,9,6,7,15,11,10
12,12,10,8,6,7,15,11,10
11,11,10,8,6,7,15,12,10
11,11,10,8,6,8,15,12,10
11,11,10,8,6,8,15,12,10
11,11,10,8,6,8,15,12,10
11,11,10,8,6,8,15,12,10
11,11,10,9,6,8,15,12,10
12,12,11,10,6,9,14,12,11
12,12,11,10,6,9,14,12,11
11,11,10,9,6,8,15,11,10
11,11,10,9,6,8,15,11,10
12,11,10,9,6,8,15,12,10
12,11,10,9,6,8,15,12,10
12,11,10,9,6,8,15,12,10
12,11,10,9,6,7,15,12,10
11,11,10,9,6,7,15,12,10
11,11,10,9,6,7,15,12,10
11,11,10,9,6,7,15,12,10
11,11,10,9,6,7,15,12,10
11,11,10,9,6,7,15,12,10
12,11,9,9,6,7,15,12,10
12,11,9,9,6,7,15,12,10
12,11,9,9,7,7,15,12,10
12,11,9,9,7,7,15,12,10
12,11,9,9,7,7,15,12,10
12,11,9,9,7,7,15,12,10
12,11,9,9,7,7,15,12,10
12,11,9,9,7,7,15,12,10
12,11,9,9,7,7,14,12,10
12,11,9,9,7,8,14,12,10
12,11,9,9,7,8,14,12,10
12,11,9,9,7,8,14,12,10
12,10,9,8,6,7,14,12,10
12,10,9,8,6,7,13,12,10
12,10,9,8,6,7,13,12,10
12,10,9,8,7,7,13,11,9
12,10,9,8,7,7,13,11,9
12,10,9,8,7,7,13,11,9
12,10,9,8,6,7,13,12,10
12,10,9,8,6,7,13,12,10
12,10,9,8,6,7,13,12,10
12,10,10,8,6,7,13,12,10
12,10,10,8,6,7,13,12,10
12,10,10,8,6,7,13,12,10
12,10,10,8,6,7,13,12,10
12,10,10,8,6,7,13,12,10
12,10,10,8,6,7,13,12,10
12,10,10,8,6,7,13,12,10
12,10,10,8,6,7,13,12,10
11,9,10,9,6,8,13,11,10
11,9,10,9,5,8,13,11,10
10,10,10,9,5,8,13,11,10
10,10,10,9,5,8,13,10,10
10,10,10,9,5,8,13,10,10
11,10,9,9,5,8,13,11,9
11,10,9,9,5,8,13,11,9
11,10,9,9,5,8,13,11,9
11,10,9,9,5,8,13,11,9
11,10,9,9,5,8,13,11,9
11,10,9,9,5,8,13,11,9
11,10,9,9,5,8,13,11,9
11,10,9,9,5,8,13,11,9
11,10,9,9,5,8,13,11,9
11,10,9,9,6,8,13,11,9
12,10,9,8,6,7,13,12,10
12,10,9,8,6,7,13,12,10
12,10,9,8,6,7,13,12,10
12,10,9,8,6,7,13,12,10
12,10,9,8,6,7,13,12,10
13,11,10,8,6,7,13,13,11
13,11,10,8,6,7,13,13,11
13,11,10,8,6,7,13,13,11
13,11,10,8,6,7,13,13,11
13,11,10,8,6,7,13,13,11
13,11,10,8,6,7,13,13,11
13,11,10,8,6,7,13,13,11
13,11,10,8,6,7,13,13,11
13,11,10,8,6,7,13,13,11
13,11,10,8,6,7,13,13,11
13,11,10,8,5,7,13,13,11
13,11,10,8,5,7,13,13,11
13,11,10,8,5,7,13,13,11
12,11,9,8,5,7,13,12,10
12,11,9,8,5,7,13,12,10
12,11,9,8,5,7,13,12,10
13,11,10,8,5,7,13,13,10
13,11,10,9,5,7,13,13,11
13,11,10,9,5,7,13,13,11
13,11,10,9,5,7,13,13,11
13,11,10,9,5,7,13,13,11
13,11,10,9,5,7,13,13,11
13,11,10,9,5,7,13,13,11
13,11,10,9,5,7,13,13,11
13,11,10,9,5,7,13,13,11
13,11,10,9,5,8,13,13,11
13,11,10,9,5,8,13,13,11
13,11,10,9,5,8,13,13,11
13,11,10,9,5,8,13,13,11
12,11,9,8,5,7,14,13,10
12,11,9,8,5,7,14,13,10
12,11,9,8,5,7,14,13,10
12,11,9,8,5,7,14,13,10
12,10,9,8,5,7,14,13,10
12,10,9,8,5,7,14,13,10
12,10,9,8,5,7,14,13,10
12,10,9,8,5,7,14,13,10
12,10,9,8,5,7,14,13,10
12,10,9,8,5,7,14,13,10
12,10,9,8,5,7,14,13,11
12,10,10,8,5,7,14,13,11
12,10,10,8,5,7,14,13,11
11,10,10,8,5,7,14,12,11
11,10,10,8,5,7,14,12,11
11,10,10,8,5,7,14,12,11
11,10,10,8,5,7,14,12,11
11,10,10,8,5,7,14,12,11
11,10,10,8,5,7,14,12,11
11,10,10,8,5,7,14,12,11
12,11,11,9,5,8,13,12,12
12,11,11,9,5,8,13,12,12
12,11,11,9,5,8,13,12,12
13,11,11,9,5,8,13,13,12
13,11,11,9,5,8,13,13,12
12,11,10,8,5,7,14,13,11
13,11,10,8,5,7,14,13,11
13,11,11,8,5,7,14,13,11
13,11,11,8,5,7,14,13,11
13,11,11,8,5,7,14,13,11
13,11,10,8,5,7,14,13,10
13,11,10,8,5,7,14,13,10
13,11,10,8,5,7,14,13,10
13,11,10,7,5,6,14,13,10
13,11,10,7,5,6,14,13,10
13,11,10,8,5,7,14,13,9
13,11,10,8,5,7,14,13,9
13,11,10,8,5,7,14,13,9
13,11,10,8,5,7,14,13,9
13,11,10,8,5,7,14,13,9
13,11,10,8,5,7,14,13,9
13,11,10,8,5,7,14,13,9
13,11,10,8,5,7,14,13,9
12,11,10,8,5,7,14,13,9
12,12,11,8,5,7,14,13,10
12,12,10,8,5,7,14,13,10
12,12,11,8,5,7,14,13,10
12,12,11,8,5,7,14,13,10
12,12,11,8,5,7,14,13,10
12,12,11,8,5,6,14,13,10
12,12,11,8,5,6,14,12,10
11,11,10,8,5,6,14,11,10
11,10,9,7,6,6,14,11,9
11,10,9,7,6,6,14,11,9
12,11,10,8,6,7,13,12,10
12,11,10,9,6,8,13,12,10
12,11,10,8,6,8,13,12,10
12,12,10,8,5,8,13,12,11
13,12,10,8,5,8,14,13,11
13,12,10,8,5,8,14,13,11
13,12,10,8,5,8,14,13,11
13,12,10,8,5,8,14,13,11
13,12,10,8,5,8,14,13,11
13,12,10,8,5,8,14,13,11
13,12,10,8,5,8,14,13,11
13,12,10,8,5,8,14,13,11
13,12,11,8,5,7,14,13,11
13,12,10,8,5,8,14,13,11
13,12,10,8,5,8,14,13,11
13,12,10,8,5,8,14,13,11
13,12,10,8,5,8,14,13,11
13,12,10,8,5,8,14,13,11
13,12,10,8,6,8,14,13,11
13,12,10,9,6,8,14,13,11
13,12,10,9,6,8,14,13,10
13,12,10,9,6,8,14,13,10
13,12,10,8,6,7,14,13,10
13,12,10,8,6,7,14,13,10
13,12,10,8,6,7,14,13,10
13,12,10,8,6,7,14,13,10
13,12,10,9,6,7,14,13,10
13,12,10,9,6,7,14,13,11
13,12,10,9,5,7,14,13,12
13,12,10,9,5,7,14,13,12
13,12,10,9,5,7,14,13,12
13,12,10,9,5,7,14,13,12
12,12,9,8,5,6,15,13,11
13,12,10,9,5,6,14,13,12
13,12,10,9,5,6,14,13,12
13,12,10,9,5,6,14,13,12
13,12,10,9,5,6,14,13,12
13,12,10,9,5,6,14,13,11
13,12,10,9,5,6,14,13,11
13,12,10,9,5,6,14,13,11
13,12,10,9,5,6,14,13,11
13,12,10,9,5,6,14,13,11
12,12,9,9,5,6,15,12,11
12,12,9,9,5,6,15,12,11
12,12,9,9,5,6,15,12,11
12,12,9,9,5,6,15,12,11
12,12,9,9,5,6,14,12,11
12,12,9,9,5,6,14,12,11
12,12,9,8,5,6,14,12,11
12,12,8,7,6,6,14,12,11
12,12,8,7,6,6,14,12,11
12,12,8,7,6,6,14,11,10
12,12,8,7,6,6,14,11,10
12,12,8,7,6,6,14,11,10
13,12,9,8,6,7,13,12,11
13,12,9,8,6,7,13,12,11
13,12,9,8,6,7,13,12,11
13,12,9,8,6,7,13,12,11
13,12,9,8,6,7,14,12,11
13,12,9,8,6,7,14,12,11
13,12,10,8,6,7,14,12,11
13,12,10,8,6,7,14,12,11
13,12,10,8,6,7,14,12,11
13,12,10,8,6,7,14,12,11
13,12,10,8,6,7,14,12,11
13,12,10,9,6,7,14,12,11
13,12,10,9,6,7,14,12,11
13,12,10,9,6,7,14,12,11
13,12,10,9,6,7,14,12,11
13,12,10,9,6,7,14,12,11
13,12,9,9,6,7,14,12,11
13,12,9,9,6,7,14,12,11
13,12,9,9,6,7,14,12,11
13,12,9,8,6,7,14,12,10
13,12,9,8,6,7,14,13,11
13,12,9,9,6,8,14,13,12
13,12,9,9,6,8,14,13,12
13,12,10,9,6,8,13,13,12
13,12,10,9,6,8,13,13,12
13,12,10,9,6,8,13,13,12
13,12,10,9,6,8,13,13,12
13,11,10,8,6,7,13,13,11
12,11,9,8,6,7,13,12,11
12,11,9,8,6,7,13,12,11
12,11,9,8,6,7,13,12,11
12,11,9,8,6,7,13,13,11
12,11,9,8,6,7,13,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,12,11
12,11,9,7,6,6,14,12,11
12,11,9,7,6,6,14,12,11
11,11,9,7,6,6,14,12,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
12,11,9,7,6,6,14,13,11
13,12,9,7,6,7,14,13,12
13,12,9,7,6,7,14,13,12
13,12,9,7,6,7,14,13,12
13,12,9,7,6,7,14,13,12
13,12,9,7,6,7,14,13,12
13,12,9,7,6,7,14,13,12
13,12,9,7,6,7,14,13,12
13,12,9,8,6,7,13,13,12
13,12,9,8,6,7,13,13,12
13,12,9,9,5,8,13,13,12
13,12,9,9,5,8,13,13,12
13,12,9,9,5,8,13,13,12
13,12,9,9,5,8,13,13,12
13,12,9,8,5,8,14,13,12
13,12,9,8,5,7,13,13,11
13,12,9,8,5,7,13,13,11
13,12,9,8,5,7,13,13,11
13,12,9,8,5,8,13,13,12
13,12,9,9,5,8,13,13,12
13,12,9,9,5,8,13,13,12
13,12,9,9,5,8,13,13,12
13,12,9,9,5,8,13,13,12
13,12,9,8,5,7,14,13,11
13,12,9,8,5,7,14,13,11
13,12,9,8,5,7,14,13,11
13,12,9,8,5,7,14,13,10
13,12,9,9,5,8,13,13,11
13,12,9,9,5,8,13,13,11
13,12,9,9,6,8,13,13,11
12,12,9,9,6,8,13,13,11
12,12,9,8,7,7,13,13,11
12,12,9,8,7,7,13,13,11
12,12,9,8,7,7,13,13,11
12,12,9,8,7,7,13,13,11
12,12,9,8,7,7,13,13,11
13,12,9,8,7,7,13,13,11
13,12,10,9,6,7,13,13,11
13,12,10,9,6,8,13,13,11
13,12,10,9,6,8,13,13,10
13,12,10,9,6,8,13,13,10
13,12,10,9,6,8,13,13,10
13,12,10,9,6,8,13,13,10
13,12,10,9,6,8,13,13,10
13,12,10,9,6,8,13,13,10
13,12,10,9,6,8,13,13,10
13,12,9,8,7,7,13,13,10
13,12,9,8,7,7,13,13,10
13,12,9,8,7,7,13,13,10
13,12,9,8,7,7,13,13,10
13,12,9,8,7,7,13,13,10
13,12,9,8,7,7,13,13,10
12,12,9,8,7,7,13,13,10
12,12,10,8,7,7,13,13,10
12,12,10,8,7,7,13,13,10
12,12,10,8,7,7,13,13,10
12,12,10,8,7,7,13,13,10
12,12,10,8,7,7,13,13,10
12,12,10,8,7,7,14,13,10
12,12,10,8,7,7,14,13,10
12,12,10,8,7,7,14,13,10
12,12,10,8,7,7,14,13,10
12,12,9,8,7,7,14,13,10
13,12,9,8,7,7,14,13,10
13,12,9,8,7,7,14,13,10
13,12,9,8,7,7,14,13,10
13,12,9,8,7,7,14,13,10
13,12,9,8,7,7,14,13,10
13,12,9,8,7,7,14,13,10
13,12,10,8,7,7,14,13,10
13,12,10,8,7,8,14,13,9
13,12,10,8,7,8,14,13,9
13,12,10,8,7,8,14,13,9
13,12,10,8,7,8,14,13,9
13,12,10,8,7,8,14,13,9
13,12,10,8,7,8,14,13,9
13,12,10,8,7,8,14,13,9
13,12,10,8,7,8,14,13,9
13,12,10,8,6,8,14,13,9
13,12,10,8,6,8,14,13,9
13,12,10,8,6,8,14,13,9
13,12,10,8,6,8,14,13,9
13,12,10,8,6,8,14,13,9
13,12,10,8,6,8,14,13,9
13,12,10,8,7,8,14,13,9
13,12,10,8,7,8,14,13,9
13,12,10,8,7,8,14,13,10
13,12,10,8,7,8,14,13,10
13,12,10,8,7,7,14,13,10
13,12,9,8,7,7,14,13,11
13,12,9,8,7,7,14,13,11
13,12,9,8,7,7,14,13,10
13,12,9,8,7,7,14,13,10
13,12,9,8,7,7,14,13,10
13,12,9,8,6,7,15,13,10
13,12,9,8,6,7,15,13,10
13,12,10,8,6,7,15,13,9
13,12,10,8,6,7,15,13,9
13,12,10,8,6,7,15,13,9
13,12,10,8,6,7,15,13,9
13,12,10,8,6,7,15,13,9
13,12,10,8,6,7,15,13,9
13,12,10,8,6,7,15,13,9
13,12,10,7,6,6,15,13,9
13,12,10,7,6,6,15,13,9
13,12,10,7,6,6,15,13,9
13,12,10,7,6,6,15,13,9
13,12,10,7,6,6,15,13,9
13,12,10,7,6,6,15,13,9
13,12,10,7,6,6,15,13,9
13,12,10,8,6,7,15,13,9
13,12,10,8,6,7,15,13,9
13,12,10,8,6,7,15,13,9
13,12,10,8,6,7,15,13,10
13,12,10,8,6,7,15,13,10
13,12,10,8,6,7,15,13,10
13,12,10,8,6,7,15,13,10
13,12,10,8,6,7,15,13,9
13,12,10,8,6,7,14,13,9
13,12,10,8,6,7,14,13,9
13,12,10,8,6,7,14,13,9
13,12,10,8,6,7,14,13,9
13,12,10,8,6,7,14,13,9
13,12,10,8,6,7,14,13,9
13,12,10,8,6,7,13,13,9
13,12,10,8,6,7,13,13,9
13,12,10,8,6,7,13,13,9
13,12,10,8,6,7,13,13,9
14,12,10,8,6,7,14,14,9
14,12,10,8,6,7,14,14,9
14,12,10,8,6,7,14,14,9
14,11,11,8,5,7,14,14,10
14,11,11,8,5,7,14,14,10
13,11,11,8,5,7,14,13,10
13,11,11,9,5,8,14,13,11
12,10,11,9,6,8,14,13,11
12,10,11,9,6,8,14,13,11
12,10,11,9,6,8,14,13,11
11,9,10,8,6,7,15,12,10
11,9,10,8,6,7,15,12,10
11,10,10,9,6,7,15,12,10
12,11,10,9,6,7,14,13,10
12,11,10,9,6,7,14,13,10
13,12,9,9,6,7,14,13,11
13,12,9,9,6,7,14,13,11
13,12,9,9,6,7,13,13,11
13,12,9,9,6,7,13,13,11
13,12,9,9,6,7,13,13,11
13,12,9,9,6,7,13,13,11
13,12,9,9,6,8,13,13,11
13,12,9,9,6,8,13,13,11
12,11,9,9,6,8,14,12,11
12,11,9,8,6,7,14,13,11
12,11,9,8,6,7,14,13,11
12,11,9,8,6,7,14,13,11
12,11,9,8,6,7,14,13,11
12,11,9,8,6,7,14,13,11
12,12,9,8,6,7,14,13,11
12,12,9,8,6,7,14,13,11
12,12,9,7,6,7,14,13,11
12,12,9,7,6,7,14,13,11
12,12,9,7,6,7,14,13,11
13,12,9,7,6,7,14,13,10
13,12,9,7,6,7,14,13,10
13,12,9,7,6,7,14,13,10
13,11,9,7,6,7,14,13,10
13,10,9,7,6,7,14,13,10
13,10,9,7,6,7,14,12,10
13,10,9,7,6,7,14,12,10
13,10,8,7,6,7,14,12,10
13,10,8,7,6,7,14,13,10
13,11,8,7,6,7,14,13,10
13,12,8,7,6,7,14,13,10
13,12,9,7,6,7,14,13,11
13,12,9,7,6,7,14,13,11
13,12,9,8,6,7,14,13,12
13,12,9,8,6,7,14,13,12
13,12,9,8,6,7,13,13,12
13,12,9,8,6,7,13,13,12
13,12,9,8,6,7,13,13,12
13,12,9,8,6,7,13,13,12
13,12,9,8,6,7,13,13,12
12,11,10,8,6,7,13,13,11
12,11,10,8,6,7,13,13,11
12,11,10,8,6,7,13,13,11
12,11,10,8,6,7,13,13,11
12,11,10,8,6,7,13,13,11
12,11,10,9,6,8,13,13,11
12,11,10,9,6,8,13,13,11
12,11,10,9,6,8,13,13,11
12,11,10,9,6,8,13,13,11
12,11,10,9,6,8,13,13,11
12,11,10,8,6,7,14,13,10
12,11,10,8,6,7,14,13,10
12,11,10,8,6,7,14,13,10
12,11,10,8,6,7,14,13,10
12,11,10,7,6,6,14,13,10
12,11,10,7,6,6,14,13,10
12,11,11,7,6,6,14,13,10
12,11,11,8,6,7,13,13,11
12,11,11,8,6,7,13,13,11
12,11,11,8,6,7,13,13,11
12,11,11,8,6,7,13,13,11
12,11,11,9,6,8,13,13,11
12,11,11,9,6,8,13,13,11
12,11,11,9,6,8,13,13,11
12,11,11,9,6,8,13,13,11
12,11,11,9,6,8,13,13,11
13,12,10,9,6,8,13,13,11
13,12,10,9,6,8,13,13,11
13,12,10,9,6,8,13,13,11
13,12,10,9,6,8,13,13,11
13,12,10,9,6,8,13,13,11
13,11,9,9,6,8,13,13,11
13,11,9,9,6,8,13,13,11
13,11,9,9,6,8,13,13,11
13,11,9,8,6,7,13,13,10
13,11,9,8,6,7,13,13,10
13,11,9,8,6,7,13,13,10
13,11,9,8,6,6,13,13,10
13,11,9,8,6,6,13,13,10
13,11,9,7,6,7,13,13,11
13,11,9,7,6,7,13,13,11
13,11,9,7,6,7,13,13,11
13,12,9,7,6,7,13,13,11
13,12,9,7,6,7,13,13,11
13,12,9,7,6,7,13,13,11
13,12,9,7,6,7,13,13,11
13,12,9,7,6,7,13,13,11
13,12,9,7,6,7,13,13,11
13,12,9,8,7,7,13,13,11
13,12,9,8,7,7,13,13,11
13,12,9,8,7,7,13,13,11
13,12,9,8,7,7,13,13,11
13,12,9,8,7,7,13,13,11
12,12,9,8,7,7,12,12,11
12,12,9,8,7,7,12,12,11
11,12,8,7,6,6,13,11,10
11,12,8,7,6,6,13,11,10
11,12,8,7,6,6,13,11,10
12,12,9,7,6,6,13,12,10
12,12,9,7,6,6,13,12,10
12,11,9,7,6,6,13,12,10
12,11,9,7,6,6,13,12,10
12,11,9,7,6,6,13,12,10
12,11,9,7,6,6,13,12,10
12,11,9,8,6,7,12,12,11
12,11,9,8,6,7,12,12,11
12,11,9,8,6,7,12,12,11
12,11,9,8,6,7,12,12,11
12,11,9,8,6,7,12,12,11
12,11,9,8,6,7,12,12,11
12,11,9,7,6,6,13,12,10
12,11,9,7,6,6,13,12,10
12,11,9,7,6,7,12,12,11
12,11,9,8,6,7,12,12,11
12,11,9,8,5,7,12,12,11
12,11,9,8,5,7,12,12,11
12,11,9,8,5,7,12,12,11
12,11,9,8,5,7,12,12,11
12,11,9,9,5,8,12,12,11
12,11,9,9,5,8,12,12,11
12,11,9,9,5,8,12,12,11
11,10,8,8,5,7,13,11,10
11,10,8,8,5,7,13,11,10
12,11,9,9,5,8,12,12,11
12,11,9,9,5,8,12,12,11
12,11,9,9,5,8,12,12,11
12,11,9,9,5,8,12,12,11
12,11,10,10,5,9,12,12,10
12,11,10,10,5,9,13,13,10
12,11,10,10,5,9,13,13,10
12,11,10,10,5,9,13,13,10
12,11,10,10,5,9,13,13,10
12,11,10,9,5,9,13,13,10
12,11,10,9,5,9,13,13,10
12,11,10,9,5,9,13,13,10
12,11,10,9,6,9,13,13,10
12,11,10,9,6,9,14,13,10
12,11,10,9,6,9,14,13,10
12,11,10,9,6,9,14,13,10
12,11,10,9,6,9,14,13,10
11,11,9,8,6,8,15,12,9
12,11,10,8,6,8,15,13,9
12,11,10,8,6,8,15,13,9
12,11,10,8,6,8,15,13,9
12,11,10,8,6,8,15,13,9
12,11,10,8,5,8,15,13,9
12,12,10,8,5,8,15,13,9
12,11,10,9,5,8,14,13,10
12,11,10,9,5,8,14,13,10
12,11,10,9,5,8,14,13,10
12,11,10,9,5,8,14,13,10
13,11,10,9,5,8,14,13,10
13,11,10,9,5,8,14,13,10
13,11,10,9,5,9,14,13,10
13,11,10,9,5,9,14,13,10
13,11,10,9,5,9,14,13,10
13,11,10,9,5,9,14,13,10
12,11,10,9,5,9,14,12,11
12,11,10,9,5,9,14,12,11
11,10,9,9,5,8,15,11,10
11,10,9,9,5,8,15,11,10
11,10,9,9,5,8,15,11,10
11,10,9,9,5,8,15,11,10
11,10,9,9,5,8,15,11,10
11,10,9,9,4,8,15,11,10
10,10,9,9,4,8,15,11,10
11,10,9,9,4,8,15,12,10
11,10,9,9,4,8,15,12,10
11,10,9,9,5,8,15,11,10
11,10,9,9,5,8,15,11,10
11,10,9,9,5,8,15,11,10
10,10,9,9,5,8,14,10,10
10,10,9,9,5,8,14,10,10
10,10,9,9,5,8,14,10,10
10,10,10,9,5,8,14,10,10
10,10,10,9,5,8,14,10,10
10,10,10,9,5,7,14,11,10
10,10,10,9,5,7,14,11,10
10,10,10,9,5,7,14,11,10
10,10,10,9,5,7,14,11,10
10,10,10,9,5,7,14,11,10
10,10,10,9,5,7,14,11,10
10,10,10,9,5,8,14,11,10
10,10,10,9,5,7,14,11,10
11,11,11,10,5,8,13,11,11
11,11,11,10,5,8,13,11,11
11,11,11,10,5,8,13,11,11
11,11,11,10,6,8,13,11,11
11,11,11,10,6,8,12,11,11
10,10,10,9,6,7,13,11,10
10,10,10,9,6,7,13,11,10
11,11,11,10,6,8,12,11,11
11,11,11,10,6,8,12,11,11
11,11,11,10,6,8,12,11,11
11,11,11,10,6,8,12,11,11
11,11,11,10,6,8,12,11,11
11,11,11,10,6,8,12,11,11
11,11,11,10,6,8,12,11,11
11,11,11,10,6,8,12,11,11
11,11,11,10,6,8,12,11,11
11,11,11,10,6,8,12,11,11
11,11,11,10,6,8,12,11,11
11,11,11,9,6,8,12,11,11
11,11,11,9,6,8,12,11,11
11,11,11,9,6,8,12,11,11
11,11,11,9,6,8,12,11,11
11,11,11,9,6,8,12,11,11
11,11,11,9,6,8,13,12,11
11,11,11,9,6,9,13,12,11
11,11,11,9,6,9,13,12,11
11,11,11,9,6,9,13,12,11
11,11,11,9,6,9,13,12,11
11,11,11,9,6,9,13,12,11
11,11,11,10,6,8,13,12,11
11,11,11,10,6,8,13,12,11
12,11,11,10,6,8,13,12,11
12,11,11,10,6,8,13,12,11
12,11,11,10,6,8,13,12,11
12,11,11,10,6,8,13,12,11
12,11,11,10,6,9,13,12,11
12,11,11,10,6,9,13,12,11
12,11,11,9,6,9,13,12,11
12,11,11,9,6,9,13,12,11
12,11,11,9,6,9,13,12,11
12,11,11,9,6,9,13,12,11
12,12,11,8,6,8,13,12,11
12,12,11,8,6,8,13,12,11
12,12,11,8,6,8,13,12,11
12,12,11,8,6,8,13,12,11
12,12,11,8,6,8,13,12,11
12,12,11,8,6,8,13,12,11
12,12,11,8,6,8,13,12,11
12,12,11,8,6,8,13,12,11
12,12,11,8,6,8,13,12,11
12,12,11,8,6,8,13,12,11
12,12,11,8,6,8,13,12,11
11,11,10,7,6,7,14,11,10
11,11,10,7,6,7,14,11,10
12,11,9,7,6,7,14,12,10
12,11,9,7,6,7,14,12,10
11,11,9,7,6,7,14,11,10
11,12,9,6,6,7,14,11,9
11,12,9,6,6,7,14,11,9
11,12,9,6,6,7,15,11,9
12,13,9,6,6,6,15,11,9
12,12,8,6,6,6,15,11,9
11,11,8,7,6,7,14,11,10
12,11,9,7,6,7,14,12,10
11,10,8,7,6,7,15,11,10
11,10,8,7,6,7,15,11,10
11,10,8,7,6,7,15,11,10
11,11,8,7,6,7,15,11,10
11,11,8,7,6,7,15,11,10
11,11,8,7,6,7,15,11,10
11,11,8,7,6,6,15,12,10
11,11,8,7,6,6,15,12,10
11,11,8,7,6,6,15,12,10
11,11,8,7,6,6,15,12,10
11,11,8,7,6,6,15,12,10
11,11,8,7,6,6,15,12,10
11,11,8,7,6,6,15,12,10
11,11,8,7,6,6,15,13,10
11,11,8,7,6,6,15,13,10
